condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,31,2.905317844999445,frontload,0.6,0.0,0.0,1000000,100.0,-27.65300750732422,26.0,0.0,0.0,0.7809174060821533,0.7704167366027832,0.14999999105930328,0.14000000059604645,1.1073240041732788,1.094740390777588,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15747247636318207,-27.151025772094727,-0.16005942275999718,0.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,32,2.703411958000288,frontload,0.6,0.0,0.0,1000000,100.0,-23.30379295349121,26.0,0.0,0.0,0.555774450302124,0.5523247718811035,0.25999999046325684,0.3499999940395355,0.8124457597732544,0.8106383085250854,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.18119992315769196,-27.196718215942383,1.5958141484004504,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,33,2.7333229779997055,frontload,0.6,0.0,0.0,1000000,100.0,-23.42953109741211,26.0,0.0,0.0,0.4998703896999359,0.5054857730865479,0.4699999988079071,0.4599999785423279,0.7676498293876648,0.7666760087013245,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15696637332439423,-27.459030151367188,1.5450508942393286,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,34,2.953562344000602,frontload,0.6,0.0,0.0,1000000,100.0,-24.51249885559082,26.0,0.0,0.0,0.6006962060928345,0.6006503701210022,0.25999999046325684,0.25999999046325684,0.8913560509681702,0.8941841721534729,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.16641439497470856,-27.439943313598633,1.1078329916805743,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,35,2.6991633310008183,frontload,0.6,0.0,0.0,1000000,100.0,-24.26469612121582,26.0,0.009999999776482582,0.0,0.575998842716217,0.5783879160881042,0.29999998211860657,0.32999998331069946,0.8395497798919678,0.8434075117111206,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15457332134246826,-27.25260353088379,1.207876405672852,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,36,2.898304410999117,frontload,0.6,0.0,0.0,1000000,100.0,-31.05424690246582,26.0,0.0,0.0,1.0688536167144775,1.0361554622650146,0.12999999523162842,0.10999999940395355,1.4409722089767456,1.4009017944335938,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15147468447685242,-27.711851119995117,-1.5332145727756639,0.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,37,2.6968763990007574,frontload,0.6,0.0,0.0,1000000,100.0,-24.115543365478516,26.0,0.009999999776482582,0.0,0.5398315191268921,0.5384650230407715,0.3100000023841858,0.29999998211860657,0.7475608587265015,0.7418792843818665,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.17669422924518585,-27.351491928100586,1.26809265360067,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,38,2.6991745780014753,frontload,0.6,0.0,0.0,1000000,100.0,-24.46466827392578,26.0,0.0,0.0,0.6906935572624207,0.6825345754623413,0.22999998927116394,0.23999999463558197,0.9646031856536865,0.9512298107147217,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.14821961522102356,-26.690155029296875,1.1271432494752505,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,39,2.828661932000614,frontload,0.6,0.0,0.0,1000000,100.0,-24.51335906982422,26.0,0.0,0.0,0.6409173607826233,0.6348793506622314,0.26999998092651367,0.20999999344348907,0.9304666519165039,0.9134477972984314,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.12817710638046265,-26.116178512573242,1.107485704275167,1.0,,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,40,2.8942589620000945,frontload,0.6,0.0,0.0,1000000,100.0,-25.08946990966797,26.0,0.0,0.0,0.6472818851470947,0.6337127685546875,0.2800000011920929,0.3199999928474426,0.9292314052581787,0.9210464954376221,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.12730926275253296,-27.009502410888672,0.8748970873606079,1.0,,
