run_dir,alpha,c_upd,roles,notes,seed,eval_return_end_mean,I_R_short,learned_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_VarTD,wall_seconds
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed30,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,30,-31.533842,-0.8657145742756142,0,1.090769,0.18,0.0,0.0,0.160021,21.17
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed31,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,31,-40.789528,-2.739044362950126,0,1.674736,0.06,0.0,0.0,0.167437,17.44
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed32,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,32,-54.874275,-5.589765111368338,0,2.593673,0.01,0.0,0.0,0.157527,20.97
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed33,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,33,-45.084736,-3.6083846900693777,0,1.913378,0.02,0.0,0.0,0.149455,17.44
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed34,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,34,-46.062859,-3.8063545599296655,0,1.997356,0.04,0.0,0.0,0.169821,21.13
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed35,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,35,-39.52478,-2.4830622451939157,0,1.573191,0.01,0.0,0.0,0.134089,17.45
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed36,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,36,-48.696552,-4.339408031182205,0,2.191283,0.06,0.0,0.0,0.167604,21.39
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed37,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,37,-37.935829,-2.1614621778359524,0,1.482905,0.05,0.0,0.0,0.199721,21.1
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed38,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,38,-48.859032,-4.3722936135219514,0,2.236364,0.02,0.0,0.0,0.155888,17.75
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed39,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,39,-41.403404,-2.8632914687132605,0,1.83769,0.05,0.0,0.0,0.144562,20.98
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed40,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,40,-47.791695,-4.1562670330335365,0,2.034608,0.01,0.0,0.0,0.15311,17.55
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed41,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,41,-52.002693,-5.008563447739999,0,2.090013,0.09,0.0,0.0,0.177212,21.13
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed42,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,42,-32.929668,-1.1482265810146488,0,1.301915,0.12,0.0,0.0,0.188973,17.59
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed43,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,43,-45.941101,-3.781711017742795,0,1.901342,0.06,0.0,0.0,0.196734,20.91
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed44,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,44,-24.116262,0.635586741896552,1,0.587377,0.27,0.01,0.0,0.176125,17.47
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed45,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,45,-55.764484,-5.769941387642854,0,2.620531,0.05,0.0,0.0,0.159497,21.19
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed46,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,46,-48.82795,-4.3660026874369935,0,2.170199,0.03,0.0,0.0,0.149333,17.51
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed47,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,47,-48.206333,-4.240188820885505,0,2.149366,0.04,0.0,0.0,0.189548,21.22
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed48,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,48,-33.90836,-1.3463116151803973,0,1.181868,0.1,0.0,0.0,0.187309,21.2
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed49,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,49,-31.333796,-0.8252257190027384,0,0.944922,0.15,0.0,0.0,0.183311,17.43
runs/stageB_completion_bridge_32seed/a0p5_c1p05_seed50,0.5,1.05,gateoff_control,diagnostic gate-off control beyond physical domain,50,-45.43737,-3.6797570093874112,0,2.003045,0.06,0.0,0.0,0.171124,21.19
