run_dir,alpha,c_upd,candidate_type,stageB_classification,stageB_in_domain_bracket_lo,stageB_in_domain_bracket_hi_or_gateoff,seed,eval_return_end_mean,I_R_full,learned_R_full_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_executed_updates_mean,final_energy,final_VarTD,wall_seconds
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed34,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,34,-25.095242,0.8725667675433364,1,0.635235,0.26,0.0,0.003205,1.0,0.44,0.170927,21.3
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed35,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,35,-25.02706,0.9000933405249688,1,0.63455,0.29,0.0,0.003205,1.0,0.44,0.156915,21.51
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed36,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,36,-29.639109,-0.9618922772827271,0,0.943182,0.12,0.0,0.003205,1.0,0.44,0.156775,21.27
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed37,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,37,-25.096781,0.8719454393948697,1,0.593634,0.34,0.0,0.003205,1.0,0.44,0.177303,21.41
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed38,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,38,-24.877289,0.96055918725918,1,0.68459,0.19,0.0,0.003205,1.0,0.44,0.151203,21.26
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed39,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,39,-25.976641,0.5167266059253467,1,0.706573,0.25,0.0,0.003205,1.0,0.44,0.131356,21.28
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed40,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,40,-26.17737,0.435687893830805,0,0.702827,0.2,0.0,0.003205,1.0,0.44,0.12813,21.1
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed41,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,41,-26.574673,0.27528793452598144,0,0.66982,0.24,0.0,0.003205,1.0,0.44,0.15924,21.55
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed42,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,42,-24.19523,1.2359214066320234,1,0.653425,0.26,0.0,0.003205,1.0,0.44,0.172085,21.67
runs/stageC_subset_refine_full_32seed/a0p0_c0p56_seed43,0.0,0.560,in_domain,in_domain_bracket_ready,0.500,0.600,43,-29.750072,-1.0066904808813426,0,0.93333,0.04,0.0,0.003205,1.0,0.44,0.161836,21.0
