condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_short,learned_R_short_0p5
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,1.1428963859998476,frontload,0.6,0.0,0.0,400000,100.0,-24.724594116210938,26.0,0.0,0.0,0.6375254988670349,0.6372888684272766,0.25,0.26999998092651367,0.935109555721283,0.92600417137146,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.14197176694869995,-27.20741844177246,0.512461705599366,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,41,1.1836822540008143,frontload,0.6,0.0,0.0,400000,100.0,-25.62202262878418,26.0,0.0,0.0,0.6288421154022217,0.632368803024292,0.29999998211860657,0.20999999344348907,0.9260410070419312,0.924061119556427,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.17922291159629822,-28.64422607421875,0.3308242164052302,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,42,1.1803908939982648,frontload,0.6,0.0,0.0,400000,100.0,-22.323360443115234,26.0,0.0,0.0,0.5623511672019958,0.5538324117660522,0.28999999165534973,0.28999999165534973,0.8198458552360535,0.812760055065155,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1763439029455185,-28.282032012939453,0.9984659379575614,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,43,1.1302663500009658,frontload,0.6,0.0,0.0,400000,100.0,-29.34110450744629,26.0,0.0,0.0,0.9270052313804626,0.9128079414367676,0.14999999105930328,0.09999999403953552,1.3175947666168213,1.2947994470596313,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1868664026260376,-27.607486724853516,-0.42190949450688353,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,44,1.0972693420008,frontload,0.6,0.0,0.0,400000,100.0,-25.05586814880371,26.0,0.0,0.0,0.5437368154525757,0.5419180393218994,0.26999998092651367,0.2800000011920929,0.7774229049682617,0.773624837398529,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.16329120099544525,-26.645790100097656,0.44541259508823,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,45,1.094813656000042,frontload,0.6,0.0,0.0,400000,100.0,-24.1102237701416,26.0,0.0,0.0,0.5978837013244629,0.5975742340087891,0.23999999463558197,0.22999998927116394,0.8705031275749207,0.8679444193840027,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.15238912403583527,-26.479835510253906,0.6368088658822403,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,46,1.0954619210006058,frontload,0.6,0.0,0.0,400000,100.0,-25.598962783813477,26.0,0.0,0.0,0.5937103033065796,0.5935748219490051,0.25,0.29999998211860657,0.9060593247413635,0.8979949951171875,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.14270447194576263,-26.760597229003906,0.3354914765635625,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,47,1.094831062000594,frontload,0.6,0.0,0.0,400000,100.0,-23.72450065612793,26.0,0.009999999776482582,0.0,0.5276936292648315,0.5273590087890625,0.3100000023841858,0.26999998092651367,0.7821179628372192,0.7759335041046143,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.17403250932693481,-27.045644760131836,0.7148783465951887,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,48,1.1812549740006943,frontload,0.6,0.0,0.0,400000,100.0,-26.164751052856445,26.0,0.0,0.0,0.6590301394462585,0.6637612581253052,0.23999999463558197,0.22999998927116394,0.9777712821960449,0.9771766662597656,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1671091467142105,-26.36924171447754,0.22097721814114163,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,49,1.0951185849989997,frontload,0.6,0.0,0.0,400000,100.0,-23.664291381835938,26.0,0.0,0.0,0.5983644723892212,0.594971776008606,0.3999999761581421,0.3999999761581421,0.8994910717010498,0.9023814797401428,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.16794778406620026,-26.690673828125,0.7270645667290246,1.0
